No,"ID Bahan","Nama Bahan Mentah",Satuan,"Nama Satuan","Qty Dampak (kepotong orphan)","Stok Sekarang","Estimasi Sebelum Dampak","Waktu Potongan","Kode Produksi"
1,78,"BOTOL 100 ML",PCS,Piece,42,3390,3432,"2026-08-01 14:37:35",PR0258
2,72,"BOTOL MINYAK REM 50 ML",PCS,Piece,3168,19008,22176,"2026-08-01 14:37:35",PR0258
3,4,"BOTOL PET 1000 ML",PCS,Piece,2076,15764,17840,"2026-08-01 14:37:35",PR0258
4,5,"BOTOL PET 1500 ML",PCS,Piece,4224,10959,15183,"2026-08-01 14:37:34",PR0258
5,2,"BOTOL PET 400 ML",PCS,Piece,716,27766,28482,"2026-08-01 14:37:35",PR0258
6,34,"DOS AIR AKI HIKARI 20 X 400 ML",DOS,DOS,18,5995,6013,"2026-08-01 14:37:36",PR0258
7,27,"DOS AIR AKI PEGASUS 12 X 1000 ML",DOS,DOS,58,594,652,"2026-08-01 14:37:36",PR0258
8,26,"DOS AIR AKI PEGASUS 12 X 1500 ML",DOS,DOS,102,4919,5021,"2026-08-01 14:37:35",PR0258
9,95,"DOS AIR ZUUR HIKARI 12 X 1000 ML",DOS,DOS,115,7295,7410,"2026-08-01 14:37:35",PR0258
10,94,"DOS AIR ZUUR HIKARI 12 X 1500 ML",DOS,DOS,250,2639,2889,"2026-08-01 14:37:35",PR0258
11,35,"DOS AIR ZUUR HIKARI 20 X 400 ML",DOS,DOS,16,3110,3126,"2026-08-01 14:37:35",PR0258
12,69,"DOS HIKARI SHIELD 24 X 50 GR",DOS,DOS,3,1477,1480,"2026-08-01 14:37:35",PR0258
13,36,"DOS MINYAK REM HIKARI 48 X 50 ML",DOS,DOS,66,1834,1900,"2026-08-01 14:37:35",PR0258
14,10,"DOS RADIATOR COOLANT HIKARI 4 X 5 LTR",DOS,DOS,246,2694,2940,"2026-08-01 14:37:35",PR0258
15,11,"DOS RADIATOR COOLANT PEGASUS 12 X 1 LITER",DOS,DOS,88,3218,3306,"2026-08-01 14:37:36",PR0258
16,90,"DOS SILICONE / TYRE / SHAMPOO 30 X 400 ML",DOS,DOS,1,2453,2454,"2026-08-01 14:37:35",PR0258
17,12,"JERIGEN 1 LITER",PCS,Piece,1056,25788,26844,"2026-08-01 14:37:36",PR0258
18,54,"STICKER AIR AKI HIKARI  (EX PPN )",PCS,Piece,360,122530,122890,"2026-08-01 14:37:36",PR0258
19,52,"STICKER AIR AKI PEGASUS  ( EX PPN )",PCS,Piece,1920,163562,165482,"2026-08-01 14:37:35",PR0258
20,55,"STICKER AIR ZUUR HIKARI (EX PPN)",PCS,Piece,4700,106962,111662,"2026-08-01 14:37:35",PR0258
21,57,"STICKER MINYAK REM HIKARI 50 ML",PCS,Piece,3168,61508,64676,"2026-08-01 14:37:35",PR0258
22,49,"STICKER RADIATOR COOLANT HIKARI 5 LTR SET ( EX PPN )",PCS,Piece,985,40236,41221,"2026-08-01 14:37:35",PR0258
23,50,"STICKER RADIATOR COOLANT PEGASUS 1 LTR SET (EX PPN)",PCS,Piece,1056,49973,51029,"2026-08-01 14:37:36",PR0258
24,147,"STICKER SILICONE OIL",PCS,Piece,30,4290,4320,"2026-08-01 14:37:35",PR0258
25,67,"STICKER SILICONE PEGASUS",PCS,Piece,48,9796,9844,"2026-08-01 14:37:35",PR0258
26,22,"SUMPEL DATAR JERIGEN 1 LITER",PCS,Piece,1056,33653,34709,"2026-08-01 14:37:36",PR0258
27,42,"SUMPEL DATAR JERIGEN 5 LTR",PCS,Piece,985,11506,12491,"2026-08-01 14:37:35",PR0258
28,73,"SUMPEL MINYAK REM 50 ML/1 LITER",PCS,Piece,3168,17832,21000,"2026-08-01 14:37:35",PR0258
29,6,"Tutup Biru",PCS,Piece,2316,81019,83335,"2026-08-01 14:37:35",PR0258
30,79,"TUTUP BIRU BOTOL 100 ML",PCS,Piece,42,17882,17924,"2026-08-01 14:37:35",PR0258
31,23,"TUTUP JERIGEN 1 LTR HIJAU",PCS,Piece,1056,26165,27221,"2026-08-01 14:37:36",PR0258
32,38,"TUTUP JERIGEN HIJAU 5 LITER",PCS,Piece,985,4992,5977,"2026-08-01 14:37:35",PR0258
33,7,"Tutup Merah",PCS,Piece,4700,66904,71604,"2026-08-01 14:37:34",PR0258
34,75,"TUTUP MERAH BOTOL 50 ML",PCS,Piece,3168,16412,19580,"2026-08-01 14:37:35",PR0258
35,13,"TUTUP TUMPUL BIRU",PCS,Piece,2280,65032,67312,"2026-08-01 14:37:35",PR0258
36,14,"TUTUP TUMPUL MERAH",PCS,Piece,320,95718,96038,"2026-08-01 14:37:35",PR0258
